"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8941","Filter products by category and subcategory","chromium","2026-03-15","failed","2026-03-15","","productPage.spec.ts","",""
"","7727","Add random product to cart with 4","chromium","2026-02-27","passed","2026-02-27","","productPage.spec.ts","",""
"","29346","Add random product to cart with 1","chromium","2026-02-27","failed","2026-02-27","","productPage.spec.ts","",""
"","3715","Add random product to cart with 4","chromium","2026-03-13","passed","2026-03-13","","productDetailPage.spec.ts","",""
"","8453","Login Test for 4 user with Json data","chromium","2026-02-12","passed","2026-02-12","Login tests from JSON","loginPage.spec.ts","",""
"","7243","Filter products by category and subcategory with 2","chromium","2026-03-15","passed","2026-03-15","","productPage.spec.ts","",""
"","16997","Login Test for 1 user with XLSX data","chromium","2026-02-11","passed","2026-02-11","","loginPage.spec.ts","",""
"","14890","Filter products by category and subcategory with 1","chromium","2026-03-15","failed","2026-03-15","","productPage.spec.ts","",""
"","21391","Login Test for 3 user","chromium","2026-01-28","passed","2026-01-28","","loginPage.spec.ts","",""
"","15531","Login Test for 2 user","chromium","2026-01-28","passed","2026-01-28","","loginPage.spec.ts","",""
"","17433","Login Test for 2 user with Json data","chromium","2026-02-12","passed","2026-02-12","","loginPage.spec.ts","",""
"","17116","Random Product Selection Test","chromium","2026-02-12","failed","2026-02-12","","productPage.spec.ts","",""
"","29823","Login Test for 3 user with CSV data","chromium","2026-02-11","passed","2026-02-11","","loginPage.spec.ts","",""
"","12935","Login Test for 3 user with Json data","chromium","2026-02-12","passed","2026-02-12","","loginPage.spec.ts","",""
"","30234","Login Test for 1 user with Json data","chromium","2026-02-12","passed","2026-02-12","","loginPage.spec.ts","",""
"","5941","Login Test for 2 user with Json data","chromium","2026-02-12","passed","2026-02-12","Login tests from JSON","loginPage.spec.ts","",""
"","35835","Login Test for 1 user with CSV data","chromium","2026-02-11","broken","2026-02-11","","loginPage.spec.ts","",""
"","35887","Login Test for 2 user with CSV data","chromium","2026-02-11","broken","2026-02-11","","loginPage.spec.ts","",""
"","6011","Filter products by category and subcategory with 3","chromium","2026-03-15","passed","2026-03-15","","productPage.spec.ts","",""
"","13782","Add random product to cart with 1","chromium","2026-03-13","passed","2026-03-13","","productDetailPage.spec.ts","",""
"","4646","Login Test for 3 user with XLSX data","chromium","2026-02-11","passed","2026-02-11","","loginPage.spec.ts","",""
"","3715","Filter products by category and subcategory with 4","chromium","2026-03-15","passed","2026-03-15","","productPage.spec.ts","",""
"","7125","Add random product to cart with 2","chromium","2026-03-13","passed","2026-03-13","","productDetailPage.spec.ts","",""
"","8948","Login Test for 4 user with Json data","chromium","2026-02-12","passed","2026-02-12","","loginPage.spec.ts","",""
"","10204","Login Test for 2 user with XLSX data","chromium","2026-02-11","passed","2026-02-11","","loginPage.spec.ts","",""
"","6008","Login Test for 3 user with Json data","chromium","2026-02-12","passed","2026-02-12","Login tests from JSON","loginPage.spec.ts","",""
"","15539","Add random product to cart with 3","chromium","2026-03-13","passed","2026-03-13","","productDetailPage.spec.ts","",""
"","9967","Add random product to cart with 2","chromium","2026-02-27","passed","2026-02-27","","productPage.spec.ts","",""
"","8177","Login Test for 4 user with XLSX data","chromium","2026-02-11","passed","2026-02-11","","loginPage.spec.ts","",""
"","14116","Login Test for 4 user","chromium","2026-01-28","passed","2026-01-28","","loginPage.spec.ts","",""
"","30016","Login Test for 4 user with CSV data","chromium","2026-02-11","passed","2026-02-11","","loginPage.spec.ts","",""
"","25301","Login Test for 1 user","chromium","2026-01-28","passed","2026-01-28","","loginPage.spec.ts","",""
"","19885","Login Test for 1 user with Json data","chromium","2026-02-12","passed","2026-02-12","Login tests from JSON","loginPage.spec.ts","",""
"","8377","Add random product to cart with 3","chromium","2026-02-27","passed","2026-02-27","","productPage.spec.ts","",""
